AccSpeciesName,TraitName,ValueKindName,StdValue,UnitName
Festuca arundinacea,Seed dry mass,Single,1.51,mg
Festuca arundinacea,Seed dry mass,Single,2.48,mg
Festuca arundinacea,Seed dry mass,Single,3.8,mg
Festuca arundinacea,Seed dry mass,Single,1.706,mg
Festuca arundinacea,Seed dry mass,Single,2.6,mg
Festuca arundinacea,Seed dry mass,Single,3.03,mg
Festuca arundinacea,Seed dry mass,Single,1.972,mg
Festuca arundinacea,Seed dry mass,Single,2.098,mg
Festuca arundinacea,Seed dry mass,Single,2.17,mg
Festuca arundinacea,Seed dry mass,Single,1.2,mg
Festuca arundinacea,Seed dry mass,Single,3.8,mg
Festuca arundinacea,Seed dry mass,Single,1.4,mg
Festuca arundinacea,Seed dry mass,Single,1.26,mg
Festuca arundinacea,Seed dry mass,Mean,1.725,mg
Festuca arundinacea,Seed dry mass,Best estimate,0.927,mg
Festuca arundinacea,Seed dry mass,Maximum,0.927,mg
Festuca arundinacea,Seed dry mass,Minimum,0.927,mg
Festuca arundinacea,Seed dry mass,Best estimate,1.26,mg
Festuca arundinacea,Seed dry mass,Best estimate,3.0344,mg
Festuca arundinacea,Seed dry mass,Best estimate,3.0344,mg
Festuca arundinacea,Seed dry mass,Best estimate,2.04,mg
Festuca arundinacea,Seed dry mass,Maximum,2.04,mg
Festuca arundinacea,Seed dry mass,Minimum,2.04,mg
Festuca arundinacea,Seed dry mass,Best estimate,2.5996,mg
Festuca arundinacea,Seed dry mass,Best estimate,2.5996,mg
Festuca arundinacea,Seed dry mass,Best estimate,1.26,mg
Festuca arundinacea,Seed dry mass,Single,2.775,mg
Festuca arundinacea,Seed dry mass,Single,2.9333,mg
Festuca arundinacea,Seed dry mass,Single,,mg
Festuca arundinacea,Seed dry mass,Single,3.05,mg
Festuca arundinacea,Seed dry mass,Single,2.4,mg
Festuca arundinacea,Seed dry mass,Single,1.6,mg
Festuca arundinacea,Seed dry mass,Single,3.05,mg
Festuca arundinacea,Seed dry mass,Single,2.4,mg
Festuca arundinacea,Seed dry mass,Single,1.6,mg
Festuca arundinacea,Seed dry mass,Single,1.2,mg
Festuca arundinacea,Seed dry mass,Single,1.2,mg
Festuca arundinacea,Seed dry mass,Single,3.8,mg
Festuca arundinacea,Seed dry mass,Single,3.8,mg
Festuca arundinacea,Seed dry mass,Single,3.05,mg
Bromus hordeaceus,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Best estimate,28.2,mm2 mg-1
Bromus hordeaceus,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Mean,28.2,mm2 mg-1
Bromus hordeaceus,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Best estimate,35.29,mm2 mg-1
Bromus hordeaceus,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Mean,34.52,mm2 mg-1
Bromus hordeaceus,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Maximum,38.84,mm2 mg-1
Bromus hordeaceus,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",Minimum,29.03,mm2 mg-1
